,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers,Bath-Bathing-Accessories,Gift-Sets,Hair-Care-Products,Makeup,Perfumes-Fragrances,Skin-Care-Products,Tools-Accessories,Top 10,Top 20,Top 30,Top 40,Top 50,Top 60,Top 70,Top 80,Top 90,Top 100,previous rank
83,90,B00H3MATM2,3.8,700,18,7,0,8.88,56,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,82.0
84,88,B015IHD0LK,4.2,253,11,0,0,12.97,32,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0
85,95,B000F54AN8,3.7,3629,207,128,0,21.39,0,21,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,1.0,95.0
86,84,B00385WMIC,4.4,1046,25,7,0,6.6,5,8,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0
87,100,B01DMQ7VBO,4.7,120,0,0,0,16.65,0,18,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,6.0,0.0,88.0
88,94,B00AMO22SM,4.8,520,19,5,0,26.99,10,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,96.0
89,89,B01GET0Q4K,4.4,49,0,0,0,14.99,63,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,89.0
90,93,B004GINGOY,4.7,770,57,7,0,16.99,6,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,92.0
91,91,B07289VCXR,4.0,404,13,2,0,12.34,5,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,75.0
92,83,B0193G18AW,4.5,190,7,1,1,2.98,40,15,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,83.0
93,92,B00L2MFLPO,4.3,975,30,16,0,10.44,5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
94,85,B06WWJJHM9,4.4,27,0,0,0,7.99,29,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,91.0
95,99,B000CSDDDG,4.8,596,28,10,9,6.25,0,10,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,101.0
96,97,B01HHNQUEW,4.3,216,7,3,2,16.95,50,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,81.0
